snapped_at,price,market_cap,total_volume
2023-12-08 00:00:00 UTC,2366.1121947950583,0.0,1651429.0071898391
2023-12-09 00:00:00 UTC,2366.1121947950583,0.0,1651429.0071898391
2023-12-10 00:00:00 UTC,2348.630358633677,0.0,74437.59924177198
2023-12-11 00:00:00 UTC,2368.6894989203097,0.0,96858.197951058
2023-12-12 00:00:00 UTC,2238.2917567078475,0.0,265891.5039265167
2023-12-13 00:00:00 UTC,2206.4104268964143,0.0,26937.13536519935
2023-12-14 00:00:00 UTC,2277.544000399067,0.0,67944.1216708104
2023-12-15 00:00:00 UTC,2340.2404474241166,0.0,19521.814955844628
2023-12-16 00:00:00 UTC,2235.0997331547924,0.0,41270.989825673096
2023-12-17 00:00:00 UTC,2242.7944223039854,0.0,9530.3091097052
2023-12-18 00:00:00 UTC,2212.370185233834,0.0,2076.2033251003418
2023-12-19 00:00:00 UTC,2235.4826073032723,0.0,27609.353088905715
2023-12-20 00:00:00 UTC,2197.4695326462834,0.0,11761.228037310848
2023-12-21 00:00:00 UTC,2217.4915613965486,0.0,40700.21912628805
2023-12-22 00:00:00 UTC,2258.4788313351005,0.0,31498.60500850741
2023-12-23 00:00:00 UTC,2358.0696852122633,0.0,84017.90201017068
2023-12-24 00:00:00 UTC,2337.0125303516693,0.0,69302.58682097249
2023-12-25 00:00:00 UTC,2288.073222404655,0.0,1145.8995892153246
2023-12-26 00:00:00 UTC,2308.4921019566436,0.0,3709.4705041190027
2023-12-27 00:00:00 UTC,2241.8181946215977,0.0,911062.3456975406
2023-12-28 00:00:00 UTC,2393.276659049404,0.0,218384.42490618146
2023-12-29 00:00:00 UTC,2366.7105488177795,0.0,103815.70223523691
2023-12-30 00:00:00 UTC,2317.234149726904,0.0,498952.1300856286
2023-12-31 00:00:00 UTC,2321.0446806313166,0.0,71329.97977563829
2024-01-01 00:00:00 UTC,2303.4267405756837,0.0,60289.640547247465
2024-01-02 00:00:00 UTC,2364.5875328457455,0.0,1083805.4938439396
2024-01-03 00:00:00 UTC,2387.678507611564,0.0,331599.7380565057
2024-01-04 00:00:00 UTC,2240.0244757107967,0.0,793611.8710561049
2024-01-05 00:00:00 UTC,2300.0542316337883,0.0,1802474.231792329
2024-01-06 00:00:00 UTC,2296.983635017948,0.0,235988.83853564478
2024-01-07 00:00:00 UTC,2267.6821723827975,0.0,352017.50587666774
2024-01-08 00:00:00 UTC,2245.776175366784,0.0,30527.978498011402
2024-01-09 00:00:00 UTC,2358.9438701204026,0.0,54044.181718129556
2024-01-10 00:00:00 UTC,2376.759781955419,0.0,771995.6880090452
2024-01-11 00:00:00 UTC,2616.217987838337,0.0,1047981.4358500245
2024-01-12 00:00:00 UTC,2654.0733870806753,0.0,121515.36110887936
2024-01-13 00:00:00 UTC,2563.7969146684727,0.0,5111128.832219655
2024-01-14 00:00:00 UTC,2623.573348245755,0.0,453327.61838400713
2024-01-15 00:00:00 UTC,2418.176388842623,0.0,4459130.2273126235
2024-01-16 00:00:00 UTC,2547.4589836525147,0.0,513546.4349493108
2024-01-17 00:00:00 UTC,2627.866770446906,0.0,3508608.742941168
2024-01-18 00:00:00 UTC,2562.0809613009073,0.0,4768991.946203492
2024-01-19 00:00:00 UTC,2500.5705375395337,0.0,2726285.9397809273
2024-01-20 00:00:00 UTC,2528.911038549284,0.0,3325110.3736855015
2024-01-21 00:00:00 UTC,2503.671639375201,0.0,2205434.5072709755
2024-01-22 00:00:00 UTC,2490.7736548728276,0.0,1767019.24863641
2024-01-23 00:00:00 UTC,2342.787412668452,0.0,1807653.6112307883
2024-01-24 00:00:00 UTC,2273.9017260461756,0.0,3193155.1762776626
2024-01-25 00:00:00 UTC,2272.5773421140875,0.0,2577701.722091157
2024-01-26 00:00:00 UTC,2253.5793093103193,0.0,2491810.586920513
2024-01-27 00:00:00 UTC,2303.497596647629,0.0,7238177.566019006
2024-01-28 00:00:00 UTC,2304.791162604059,0.0,5662935.682172146
2024-01-29 00:00:00 UTC,2294.769269003409,0.0,3266976.041901174
2024-01-30 00:00:00 UTC,2359.426801425357,0.0,1954068.9966157812
2024-01-31 00:00:00 UTC,2377.2665195448653,0.0,1525401.3073594163
2024-02-01 00:00:00 UTC,2327.4176735414176,0.0,5158825.148289633
2024-02-02 00:00:00 UTC,2340.036185185068,779872748.18066,2345795.296997429
2024-02-03 00:00:00 UTC,2346.751141888734,909280139.5705199,2838811.1473617074
2024-02-04 00:00:00 UTC,2334.084325983269,923885313.7551204,693964.0316682103
2024-02-05 00:00:00 UTC,2326.9840140945835,921213676.4342909,2236614.1300251787
2024-02-06 00:00:00 UTC,2338.0488525005367,953655113.0796728,4250193.757727316
2024-02-07 00:00:00 UTC,2418.0508190576106,1003125122.3195182,2822619.5887428946
2024-02-08 00:00:00 UTC,2471.4875901812657,1039884501.7518514,3820138.837673563
2024-02-09 00:00:00 UTC,2466.461689438759,1040248015.6295383,2557946.3653599946
2024-02-10 00:00:00 UTC,2535.527478216691,1155573815.7680266,2864137.1121233418
2024-02-11 00:00:00 UTC,2549.2863608717034,1177204135.163092,1458049.7541138527
2024-02-12 00:00:00 UTC,2554.970733238309,1183025057.2881336,1302864.921932959
2024-02-13 00:00:00 UTC,2720.1515618939757,1266644188.345044,2073170.2536910542
2024-02-14 00:00:00 UTC,2700.8987510227344,1260286703.3749948,2176341.756205157
2024-02-15 00:00:00 UTC,2860.459152598959,1331299122.7909467,2538321.9234354417
2024-02-16 00:00:00 UTC,2872.113040631389,1350075827.9529395,1576625.5706033062
2024-02-17 00:00:00 UTC,2868.5251849673314,1338935276.0257921,2706789.939258555
2024-02-18 00:00:00 UTC,2845.8733688736725,1352449798.3122232,2362486.2504047304
2024-02-19 00:00:00 UTC,2936.5031726224042,1410691725.5099065,1790433.6992125004
2024-02-20 00:00:00 UTC,3011.049035994181,1446895719.0379937,2611242.358194109
2024-02-21 00:00:00 UTC,3075.7270594647744,1575149796.8300056,1986776.621171673
2024-02-22 00:00:00 UTC,3039.390132307991,1541851387.4853764,4090480.9120631265
2024-02-23 00:00:00 UTC,3041.596974201542,1561228013.6412668,2683202.265252538
2024-02-24 00:00:00 UTC,2994.4710214049924,1537717045.9097242,1480668.5805295566
2024-02-25 00:00:00 UTC,3050.3241312196615,1561001490.5617616,1254450.7160060236
2024-02-26 00:00:00 UTC,3180.770970189813,1630261120.2596836,1327883.0297788314
2024-02-27 00:00:00 UTC,3249.421436976182,1684096960.0230029,2646444.6952926894
2024-02-28 00:00:00 UTC,3296.9866573994746,1717655447.0552642,2228032.0258136797
2024-02-29 00:00:00 UTC,3463.012905295633,1799489199.4316118,8912101.125315644
2024-03-01 00:00:00 UTC,3453.4831236971827,1796365136.2766352,5963685.8228769405
2024-03-02 00:00:00 UTC,3518.0796165040474,1834969108.8380845,2998906.727279536
2024-03-03 00:00:00 UTC,3507.9465003143328,1825603545.5772648,5544999.692640569
2024-03-04 00:00:00 UTC,3566.9909455857314,1834161264.1962955,2919739.018262097
2024-03-05 00:00:00 UTC,3734.4268781934848,1935227052.1558142,6808893.574640229
2024-03-06 00:00:00 UTC,3662.832184089603,1916874001.1225986,8551388.331850026
2024-03-07 00:00:00 UTC,3918.727568498734,2033641238.6451662,11234630.170846941
2024-03-08 00:00:00 UTC,3969.191030797816,2077737913.4028661,15634103.080033876
2024-03-09 00:00:00 UTC,4001.504427081174,2115746357.2926788,3989929.4020959544
